"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HMOX1",1.36383675982764e-25,0.280839886111592,0.281,0.149,4.99177892464516e-21,"2","HMOX1"
"KIAA11911",1.43724733140186e-25,0.500280577980295,0.281,0.156,5.26046895766394e-21,"2","KIAA1191"
"CTNNAL1",1.46298487693634e-25,0.323575576269443,0.281,0.148,5.35467094807471e-21,"2","CTNNAL1"
"COX201",1.73543935726023e-25,0.309593620032989,0.505,0.327,6.35188159150816e-21,"2","COX20"
"NT5C3B1",2.13109942328058e-25,0.740793851482921,0.268,0.15,7.80003699914925e-21,"2","NT5C3B"
"KDM1A1",2.76111218093147e-25,0.393985159322798,0.315,0.181,1.01059466934273e-20,"2","KDM1A"
"AZI2",3.31502270044277e-25,0.397257978867956,0.346,0.206,1.21333145858906e-20,"2","AZI2"
"CD1091",4.44996632743651e-25,0.714042564039022,0.324,0.191,1.62873217550504e-20,"2","CD109"
"CAPRIN11",4.70627548405078e-25,0.303347741339177,0.42,0.26,1.72254388991743e-20,"2","CAPRIN1"
"CBR11",5.05331730253339e-25,0.645416205743112,0.269,0.147,1.84956466590025e-20,"2","CBR1"
"SLC2A4RG1",5.37975466056208e-25,0.43338198919527,0.307,0.177,1.96904400331233e-20,"2","SLC2A4RG"
"ARMC101",6.60011817157698e-25,0.539733377740399,0.296,0.169,2.41570925197889e-20,"2","ARMC10"
"ZFAND2A1",6.97319780543979e-25,0.594975197223195,0.433,0.274,2.55226012876902e-20,"2","ZFAND2A"
"NDEL11",9.00053926528459e-25,0.37030872757923,0.332,0.194,3.29428737648681e-20,"2","NDEL1"
"NDUFS81",1.16422512030359e-24,0.355165428523633,0.544,0.358,4.26118036282316e-20,"2","NDUFS8"
"SERINC31",1.23188968070098e-24,0.320165405793035,0.501,0.316,4.50883942033364e-20,"2","SERINC3"
"FBXW5",1.32884538251562e-24,0.319263170047812,0.389,0.237,4.86370698454542e-20,"2","FBXW5"
"CERS2",2.12493575844785e-24,0.307953371006941,0.38,0.23,7.77747736949496e-20,"2","CERS2"
"CHMP2B",2.31285384885664e-24,0.29214331413652,0.438,0.273,8.4652763722002e-20,"2","CHMP2B"
"ATF31",2.86887173519077e-24,0.460127119854353,0.456,0.294,1.05003574379717e-19,"2","ATF3"
"CTNNBL11",3.67446609235532e-24,0.480195988288799,0.369,0.222,1.34489133446297e-19,"2","CTNNBL1"
"GDI11",3.81746730507809e-24,0.434063833349543,0.36,0.217,1.39723120833163e-19,"2","GDI1"
"TBC1D231",3.83462977521219e-24,0.38551803372961,0.332,0.197,1.40351284402541e-19,"2","TBC1D23"
"HDDC21",4.01067625655438e-24,0.384992340316265,0.351,0.21,1.46794761666147e-19,"2","HDDC2"
"SLC1A51",4.0568090812812e-24,0.357995657457456,0.317,0.183,1.48483269183973e-19,"2","SLC1A5"
"SLC52A21",4.5332427910787e-24,0.428484892329612,0.343,0.205,1.65921219396272e-19,"2","SLC52A2"
"DECR1",5.61409220907293e-24,0.484679260119145,0.26,0.14,2.05481388944278e-19,"2","DECR1"
"EIF1B",6.95763990746589e-24,0.346096942536013,0.793,0.591,2.54656578253159e-19,"2","EIF1B"
"EPN11",9.77971790926608e-24,0.473082172799127,0.343,0.21,3.57947455197048e-19,"2","EPN1"
"WDR451",1.13804707388512e-23,0.471189789279483,0.331,0.198,4.16536609512692e-19,"2","WDR45"
"PSMA11",1.14624445998494e-23,0.264981522027068,0.657,0.441,4.19536934799088e-19,"2","PSMA1"
"CD44",1.17467055456408e-23,0.277412420812071,0.899,0.793,4.29941169675999e-19,"2","CD44"
"LARP1",1.17759666299777e-23,0.365323022759405,0.316,0.181,4.31012154623813e-19,"2","LARP1"
"HADHB1",1.20203367839716e-23,0.289416210252907,0.475,0.298,4.39956346630146e-19,"2","HADHB"
"SLC25A111",1.25454456401932e-23,0.463087274692263,0.36,0.218,4.59175855876712e-19,"2","SLC25A11"
"ATAD11",1.84032084126351e-23,0.312929054997697,0.316,0.187,6.73575831110856e-19,"2","ATAD1"
"RCOR1",2.77288243382331e-23,0.295700935407818,0.279,0.154,1.01490269960367e-18,"2","RCOR1"
"STOM2",2.7761539245257e-23,0.425564021354716,0.364,0.22,1.01610009791565e-18,"2","STOM"
"TMEM242",2.91372898276631e-23,0.414243948132165,0.25,0.136,1.0664539449823e-18,"2","TMEM242"
"ARF31",3.49043660933684e-23,0.400574103907773,0.41,0.254,1.27753470338338e-18,"2","ARF3"
"PSMD61",3.72794856872414e-23,0.285838185025213,0.392,0.247,1.36446645563872e-18,"2","PSMD6"
"DIS3",3.78126839154962e-23,0.535443229791423,0.419,0.261,1.38398204399108e-18,"2","DIS3"
"POLD21",3.87492945869847e-23,0.52749784296435,0.271,0.156,1.41826293117823e-18,"2","POLD2"
"CCT71",4.05766854105286e-23,0.281887529200738,0.493,0.308,1.48514726271076e-18,"2","CCT7"
"PPP1CC1",4.34341123353644e-23,0.271348054853941,0.551,0.358,1.58973194558667e-18,"2","PPP1CC"
"SELENOK1",4.5400098895791e-23,0.303142738254342,0.848,0.655,1.66168901968485e-18,"2","SELENOK"
"ATN11",6.0746091354161e-23,0.579771976606786,0.292,0.17,2.22336768965365e-18,"2","ATN1"
"PABPC4",8.81759847026856e-23,0.284242480116069,0.462,0.301,3.227329216103e-18,"2","PABPC4"
"FBXO221",1.0494104850053e-22,0.431136784154956,0.326,0.197,3.84094731616792e-18,"2","FBXO22"
"SPTLC21",1.05518023473544e-22,0.377227061944163,0.283,0.159,3.86206517715517e-18,"2","SPTLC2"
"PTGS2",1.34538575176196e-22,1.11043833833996,0.368,0.233,4.92424639002393e-18,"2","PTGS2"
"POP71",1.36906131490911e-22,0.350426292283758,0.333,0.2,5.01090131869883e-18,"2","POP7"
"ZKSCAN1",1.55801026408044e-22,0.325548356176838,0.367,0.222,5.70247336756082e-18,"2","ZKSCAN1"
"TBCB2",1.82396635858817e-22,0.350813727559613,0.408,0.259,6.67589926906857e-18,"2","TBCB"
"TRIAP1",2.01111495846421e-22,0.411781497492323,0.31,0.184,7.36088185947487e-18,"2","TRIAP1"
"GOSR21",2.34170028550837e-22,0.58407547708329,0.291,0.173,8.57085721498918e-18,"2","GOSR2"
"EBNA1BP21",2.69137663690909e-22,0.373108102501569,0.322,0.192,9.85070762875097e-18,"2","EBNA1BP2"
"B4GALT31",3.67774846056365e-22,0.495342992047366,0.268,0.154,1.3460927140509e-17,"2","B4GALT3"
"MRPL23",3.73559403504639e-22,0.427656413326528,0.307,0.184,1.36726477276733e-17,"2","MRPL2"
"INTS111",4.55657365486157e-22,0.374799539461341,0.293,0.171,1.66775152341588e-17,"2","INTS11"
"NDUFA61",4.65930190017787e-22,0.290626422759179,0.571,0.388,1.7053510884841e-17,"2","NDUFA6"
"CMAS1",4.84256404237705e-22,0.582592702828284,0.322,0.193,1.77242686515043e-17,"2","CMAS"
"CUEDC21",5.50244164291278e-22,0.617127227484715,0.268,0.155,2.01394866572251e-17,"2","CUEDC2"
"NDUFB21",5.57240382012252e-22,0.27745920485459,0.567,0.388,2.03955552220304e-17,"2","NDUFB2"
"HSPH1",6.51788136137701e-22,0.701992192747752,0.595,0.425,2.3856097570776e-17,"2","HSPH1"
"SKP11",8.12240570194824e-22,0.296323748098284,0.869,0.674,2.97288171097008e-17,"2","SKP1"
"C4orf48",8.85077536470407e-22,0.427255526450894,0.343,0.209,3.23947229123534e-17,"2","C4orf48"
"RWDD41",1.01951062548389e-21,0.410548235672473,0.252,0.142,3.73151084033358e-17,"2","RWDD4"
"ALG5",1.12497060306425e-21,0.329131075976496,0.303,0.18,4.11750490427546e-17,"2","ALG5"
"FEM1B1",1.31265887357932e-21,0.357569247630673,0.33,0.198,4.80446274318768e-17,"2","FEM1B"
"IMP32",1.32147750365717e-21,0.272702291674415,0.49,0.318,4.83673981113562e-17,"2","IMP3"
"AP2A11",1.33200065271222e-21,0.551247816150108,0.258,0.147,4.875255588992e-17,"2","AP2A1"
"SLC25A3",1.45273336462507e-21,0.329192730285373,0.854,0.691,5.31714938786421e-17,"2","SLC25A3"
"NAA101",1.53803816893336e-21,0.280149156138594,0.442,0.281,5.629373502113e-17,"2","NAA10"
"ELOB1",1.98872201525795e-21,0.389163146270229,0.826,0.608,7.27892144804562e-17,"2","ELOB"
"STK25",2.48476264576222e-21,0.329385212808522,0.252,0.141,9.09447975975429e-17,"2","STK25"
"ACAA2",2.51242245339395e-21,0.342093215624531,0.264,0.147,9.1957174216672e-17,"2","ACAA2"
"LARS1",2.88809185107808e-21,0.461589089056283,0.288,0.17,1.05707049841309e-16,"2","LARS"
"IL13RA11",3.56499551759511e-21,0.501077485011351,0.27,0.156,1.30482400939499e-16,"2","IL13RA1"
"PLXNB21",6.00667011369835e-21,0.422855558640883,0.316,0.191,2.19850132831473e-16,"2","PLXNB2"
"USO11",6.04975618197045e-21,0.484104306838212,0.299,0.18,2.214271260163e-16,"2","USO1"
"SRP681",6.12167241284552e-21,0.451983208203045,0.325,0.201,2.24059331982559e-16,"2","SRP68"
"PFKP1",6.59996651615154e-21,0.372946962397294,0.342,0.21,2.41565374457662e-16,"2","PFKP"
"NDUFA121",6.97579275705148e-21,0.379697172056953,0.546,0.367,2.55320990700841e-16,"2","NDUFA12"
"EI241",8.09748318093551e-21,0.40097202917769,0.293,0.174,2.96375981905421e-16,"2","EI24"
"COMMD51",8.65299993473279e-21,0.530099790384964,0.257,0.148,3.16708450611155e-16,"2","COMMD5"
"IGF2BP21",8.78766940474475e-21,0.564063840488146,0.278,0.16,3.21637487883062e-16,"2","IGF2BP2"
"TMEM35B1",8.7922380766235e-21,0.312409138847552,0.334,0.203,3.21804705842497e-16,"2","TMEM35B"
"PFDN1",1.00778287617014e-20,0.327466800228618,0.289,0.171,3.68858610507031e-16,"2","PFDN1"
"DERL21",1.15351363584225e-20,0.266633734025848,0.471,0.305,4.22197525854623e-16,"2","DERL2"
"XPOT1",1.2775219375564e-20,0.309343104397074,0.333,0.202,4.67585804365017e-16,"2","XPOT"
"PTPN111",1.5195943873244e-20,0.42406355885382,0.339,0.211,5.56186741704604e-16,"2","PTPN11"
"TSR11",1.54208316878378e-20,0.395615725268651,0.278,0.163,5.64417860606552e-16,"2","TSR1"
"CFDP11",1.94156157727438e-20,0.274360612538832,0.378,0.237,7.10630952898194e-16,"2","CFDP1"
"SAP30BP",2.00314412468772e-20,0.302308591568366,0.333,0.207,7.33170781076951e-16,"2","SAP30BP"
"FAM120A",2.0753156438566e-20,0.33655168016788,0.332,0.206,7.59586278807954e-16,"2","FAM120A"
"OSTM1",4.65825604336821e-20,0.347435927317335,0.256,0.146,1.7049682944332e-15,"2","OSTM1"
"NDUFV11",4.72736603127801e-20,0.322610078335121,0.344,0.218,1.73026324110806e-15,"2","NDUFV1"
"DLST",4.86494220718311e-20,0.358422694996757,0.276,0.164,1.78061749725109e-15,"2","DLST"
"NMB2",4.93595361709219e-20,0.799713658643841,0.369,0.237,1.80660838339191e-15,"2","NMB"
"MALSU11",6.03443737965626e-20,0.416983590229679,0.306,0.187,2.20866442532799e-15,"2","MALSU1"
"PPFIA1",7.6573507020296e-20,0.353900039968788,0.305,0.185,2.80266693044985e-15,"2","PPFIA1"
"MTHFD21",8.26083796985923e-20,0.28861264102116,0.435,0.278,3.02354930534818e-15,"2","MTHFD2"
"OSBPL9",9.54348540056802e-20,0.354685853376195,0.27,0.161,3.4930110914619e-15,"2","OSBPL9"
"CCSAP1",1.27200826518717e-19,0.516805932307457,0.256,0.15,4.65567745141156e-15,"2","CCSAP"
"JUN",1.33056109287076e-19,0.32010936082159,0.813,0.625,4.86998665601625e-15,"2","JUN"
"TOLLIP1",1.34827756419786e-19,0.421071356607124,0.33,0.208,4.93483071272058e-15,"2","TOLLIP"
"FLNB1",1.36881173827133e-19,0.42619744312329,0.284,0.168,5.0099878432469e-15,"2","FLNB"
"NAGK1",2.09169401058998e-19,0.309908559517885,0.331,0.206,7.6558092481604e-15,"2","NAGK"
"MICOS131",2.8032952860289e-19,0.414891755228621,0.326,0.206,1.02603410763944e-14,"2","MICOS13"
"TRIO1",3.66963938849779e-19,0.404732094905617,0.293,0.177,1.34312471258408e-14,"2","TRIO"
"DAP1",4.18240250755838e-19,0.473825104857802,0.305,0.19,1.53080114179144e-14,"2","DAP"
"AK6",4.37872117332702e-19,0.27767433332596,0.276,0.163,1.60265573664942e-14,"2","AK6"
"KXD11",5.45066383171126e-19,0.483079206860193,0.284,0.175,1.99499746904464e-14,"2","KXD1"
"GMCL11",1.38679165895345e-18,0.313093469811766,0.28,0.169,5.07579615093551e-14,"2","GMCL1"
"UBE2E1",2.13245790987596e-18,0.292963653945187,0.274,0.162,7.805009195937e-14,"2","UBE2E1"
"PAM161",5.07675715100625e-18,0.651782902699674,0.273,0.17,1.8581438848398e-13,"2","PAM16"
"PSMD1",6.19727922231235e-18,0.299811694502302,0.324,0.205,2.26826616815854e-13,"2","PSMD1"
"AIG11",1.16670045387552e-17,0.896476764841596,0.251,0.158,4.2702403312298e-13,"2","AIG1"
"UQCRC11",1.27936122766084e-17,0.285342909641763,0.355,0.234,4.68259002936143e-13,"2","UQCRC1"
"NUDT221",1.32256593137246e-17,0.420458828536544,0.314,0.203,4.84072356541633e-13,"2","NUDT22"
"ECHDC1",1.68332048480743e-17,0.382181940763483,0.294,0.185,6.16112130644367e-13,"2","ECHDC1"
"ELOVL11",1.80719321031042e-17,0.415699796043849,0.301,0.187,6.61450786905715e-13,"2","ELOVL1"
"CRLS11",2.53998761317693e-17,0.289910719386905,0.302,0.188,9.29660866298887e-13,"2","CRLS1"
"ZNF330",2.82307850502888e-17,0.338205488225988,0.259,0.157,1.03327496362562e-12,"2","ZNF330"
"DVL31",2.92392615964759e-17,0.345201100803921,0.303,0.192,1.07018621369261e-12,"2","DVL3"
"BAG6",3.73438120318635e-17,0.357685077209409,0.276,0.171,1.36682086417823e-12,"2","BAG6"
"CRELD21",3.86178542435648e-17,0.365674061434082,0.35,0.228,1.41345208316872e-12,"2","CRELD2"
"USE1",4.6124183421035e-17,0.303717034404697,0.253,0.152,1.6881912373933e-12,"2","USE1"
"DIPK2A1",6.17724548947963e-17,0.311698396215519,0.288,0.181,2.26093362160444e-12,"2","DIPK2A"
"AHSA11",8.07469508328087e-17,0.295276286492413,0.462,0.314,2.95541914743163e-12,"2","AHSA1"
"LTBR1",8.73706716927426e-17,0.286526379820539,0.295,0.177,3.19785395462607e-12,"2","LTBR"
"GALNT2",1.2621815083978e-16,0.264473844739453,0.269,0.167,4.61971053888679e-12,"2","GALNT2"
"SIGIRR",1.89551505464042e-16,0.325366870737196,0.307,0.196,6.9377746514894e-12,"2","SIGIRR"
"SH3BGRL",2.12203671249249e-16,0.285475252277529,0.439,0.296,7.76686657139376e-12,"2","SH3BGRL"
"GLA",2.14511800669903e-16,0.4717047523463,0.289,0.183,7.8513464163191e-12,"2","GLA"
"ACOT9",3.92937870774046e-16,0.391761126262664,0.314,0.201,1.43819190082009e-11,"2","ACOT9"
